ZIP,COUNTY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
36003,01001,AL,0.0355366927438,0.018509498295178,0.039665970772443,0.034569711186043
36006,01001,AL,0.018845215848985,0.0048709206039942,0.010438413361169,0.017885940477936
36008,01001,AL,0.0010135242137269,0.0019483682415977,0,0.0010555637003372
36022,01001,AL,0.083679092895829,0.01656113005358,0.012526096033403,0.078639495675121
36051,01001,AL,0.032369429575903,0.012664393570385,0.010438413361169,0.030875238234863
36066,01001,AL,0.30184017990055,0.28251339503166,0.52400835073069,0.30379709719982
36067,01001,AL,0.44911791720774,0.49439844130541,0.38413361169102,0.45093094854127
36068,01001,AL,0.043898267507047,0.15781782756941,0.0041753653444676,0.050197918193813
36091,01001,AL,0.0085832831849998,0.0014612761811982,0,0.008034012608122
36703,01001,AL,0.0047508947518449,0.0063321967851924,0,0.0047793578654156
36749,01001,AL,0.014474392677288,0.0014612761811982,0.014613778705637,0.013693006890485
36758,01001,AL,0.0058911094922877,0.0014612761811982,0,0.0055417094267703
36480,01003,AL,3.3173180589266e-05,0,0,3.0452679074442e-05
36502,01003,AL,0.00093990678336254,0.00052231010296971,0,0.00089835403269603
36507,01003,AL,0.060181678452361,0.064020295478287,0.085631349782293,0.060798773772123
36511,01003,AL,0.0047714091414228,0.0044023280107447,0.0029027576197388,0.0047201652565384
36526,01003,AL,0.11319242103401,0.15796149828384,0.11901306240929,0.11631908317134
36527,01003,AL,0.050992707429134,0.05879719444859,0.054789550072569,0.051576687459079
36530,01003,AL,0.035666697996893,0.015967766005074,0.018505079825835,0.034086698777325
36532,01003,AL,0.12385206973003,0.13520370094016,0.15928882438316,0.12511990742386
36533,01003,AL,0.0076408892623943,0.036785554394866,0.00072568940493469,0.0095266131037878
36535,01003,AL,0.14619973572033,0.1619907476496,0.144412191582,0.14724885421795
36536,01003,AL,0.0085586805920307,0.021265482763767,0.00072568940493469,0.0093134443502667
36542,01003,AL,0.11359049920108,0.073347261602746,0.17017416545718,0.11164459693342
36547,01003,AL,0.041101570750101,0.043724817191464,0.00072568940493469,0.040715231922528
36549,01003,AL,0.030956106353217,0.011490822265334,0.0025399129172714,0.029234571911464
36550,01003,AL,0.00089014701247864,0.00037307864497836,0,0.00084252412105955
36551,01003,AL,0.029236629826007,0.020295478286823,0.01632801161103,0.028447877702041
36555,01003,AL,0.0038757332655126,0.00097000447694374,0.0032656023222061,0.0036695478284702
36559,01003,AL,0.0046995339168127,0.0075361886285629,0.00036284470246734,0.0048318250798114
36561,01003,AL,0.10144358624198,0.084688852410088,0.10740203193033,0.1003872565689
36562,01003,AL,0.0049815059518215,0.0017161617669005,0.0036284470246734,0.0047404670425881
36564,01003,AL,0.0062586734045082,0.0078346515445456,0.00036284470246734,0.0062834027823598
36567,01003,AL,0.043291000668992,0.038874794806745,0.060595065312046,0.043232653392682
36574,01003,AL,0.0053961707091873,0.0018653932248918,0.0054426705370102,0.0051566536566054
36576,01003,AL,0.017664718663784,0.0035815549917923,0.0177793904209,0.016708369918844
36577,01003,AL,0.0041908784811106,0.012610058200269,0.00036284470246734,0.0047100143635136
36578,01003,AL,0.0091889710232268,0.0055961796746754,0.00036284470246734,0.0088211260385632
36579,01003,AL,0.0059435281889102,0.0021638561408745,0.0036284470246734,0.0056540474148213
36580,01003,AL,0.025261377018726,0.026413968064468,0.021044992743106,0.025280799078299
36016,01005,AL,0.13081745840367,0.067768595041322,0.31719128329298,0.12882653061224
36017,01005,AL,0.085965758379551,0.071625344352617,0.12348668280872,0.085406037414966
36027,01005,AL,0.58916083916084,0.70633608815427,0.53510895883777,0.59927721088435
36048,01005,AL,0.052568121533639,0.014325068870523,0.01452784503632,0.048044217687075
36053,01005,AL,0.031227393296359,0.018181818181818,0,0.029283588435374
36072,01005,AL,0.081082710393055,0.11570247933884,0.0048426150121065,0.082748724489796
36311,01005,AL,0.022727272727273,0.0033057851239669,0.0024213075060533,0.020408163265306
36317,01005,AL,0.0016276826621654,0.00055096418732782,0,0.0014880952380952
36374,01005,AL,0.0048227634434531,0.0022038567493113,0.0024213075060533,0.0045174319727891
35034,01007,AL,0.151339608979,0.20147058823529,0.25477707006369,0.15557425326041
35035,01007,AL,0.081643736422882,0.033823529411765,0.031847133757962,0.07824989482541
35042,01007,AL,0.295981173063,0.40735294117647,0.36942675159236,0.30332351703828
35074,01007,AL,0,0.0014705882352941,0,8.413967185528e-05
35080,01007,AL,0.00054308472121651,0,0,0.00050483803113168
35111,01007,AL,0.013667632150615,0.0044117647058824,0.012738853503185,0.013125788809424
35115,01007,AL,0.0082367849384504,0.0014705882352941,0,0.0077408498106857
35184,01007,AL,0.26810282404055,0.11176470588235,0.15923566878981,0.25771981489272
35188,01007,AL,0.11540550325851,0.21911764705882,0.12101910828025,0.12141354648717
35456,01007,AL,0.00072411296162201,0,0,0.00067311737484224
36750,01007,AL,0.0041636495293266,0.0029411764705882,0,0.0040387042490534
36756,01007,AL,0,0.0014705882352941,0,8.413967185528e-05
36792,01007,AL,0.039916727009413,0.011764705882353,0.0063694267515924,0.037862852334876
36793,01007,AL,0.020275162925416,0.0029411764705882,0.044585987261146,0.01960454354228
35013,01009,AL,0,0.00063251106894371,0,3.0912856657084e-05
35016,01009,AL,0.0060348239018599,0.0025300442757748,0,0.0057807041948746
35031,01009,AL,0.1426263025986,0.09044908285895,0.1463963963964,0.14012797922656
35049,01009,AL,0.067174515235457,0.05629348513599,0.024774774774775,0.066060774676188
35063,01009,AL,0.0092995647012268,0.0037950664136622,0.0067567567567568,0.0089956412872114
35077,01009,AL,6.5954359583168e-05,0,0,6.1825713314167e-05
35079,01009,AL,0.16082970584356,0.071473750790639,0.056306306306306,0.15502797613527
35097,01009,AL,0.02746999076639,0.036685641998735,0.02027027027027,0.027821570991375
35121,01009,AL,0.2590027700831,0.49652118912081,0.42342342342342,0.27286778571208
35126,01009,AL,0.0080464318691466,0.0044275774826059,0,0.007759127020928
35133,01009,AL,0.066481994459834,0.032890575585073,0.040540540540541,0.064484218986677
35146,01009,AL,0.015697137580794,0.0031625553447185,0,0.014869084052057
35172,01009,AL,0.038748186255111,0.02213788741303,0.038288288288288,0.037930075118242
35180,01009,AL,0.097645429362881,0.084123972169513,0.19144144144144,0.098271971312869
35952,01009,AL,0.057973882073605,0.079696394686907,0.027027027027027,0.058610776221831
35957,01009,AL,0.0081123862287297,0.0018975332068311,0.0045045045045045,0.007759127020928
35976,01009,AL,0.010387811634349,0.0031625553447185,0.013513513513514,0.010077591270209
35980,01009,AL,0.024403113045772,0.010120177103099,0.0067567567567568,0.023462858202727
36005,01011,AL,0.060933089822348,0.034416826003824,0,0.058492859313279
36029,01011,AL,0.069068570479827,0.032504780114723,0,0.06578547553935
36031,01011,AL,0,0.0019120458891013,0,0.00015192950470981
36052,01011,AL,0.0049809065249875,0.005736137667304,0,0.0050136736554239
36053,01011,AL,0.14178980574465,0.055449330783939,0.19444444444444,0.13521725919174
36081,01011,AL,0.037522829154906,0.0076481835564054,0,0.034943786083257
36089,01011,AL,0.6790635895733,0.8565965583174,0.80555555555556,0.69386204800972
36830,01011,AL,0.00033206043499917,0,0,0.00030385900941963
36860,01011,AL,0.0063091482649842,0.005736137667304,0,0.0062291096931024
36015,01013,AL,0,0.00086880973066898,0,7.3110103816347e-05
36030,01013,AL,0.03172651254304,0.018245004344049,0,0.02982892235707
36032,01013,AL,0.019347434005575,0.0043440486533449,0.16717325227964,0.021640590729639
36033,01013,AL,0.19413018527627,0.083405734144222,0.37082066869301,0.18906272846907
36037,01013,AL,0.65494343334973,0.87141615986099,0.38601823708207,0.66669103670127
36042,01013,AL,0.028775209050664,0.0034752389226759,0,0.025954086854803
36071,01013,AL,0.0036071487129038,0,0,0.0032168445679193
36456,01013,AL,0.066978193146417,0.018245004344049,0.075987841945289,0.063094019593508
36474,01013,AL,0.00049188391539597,0,0,0.00043866062289808
35096,01015,AL,0.002655814949668,0.00029347028613353,0,0.0024005924866563
35905,01015,AL,0.0050260583993717,0.0029347028613353,0.0013661202185792,0.0047756467553694
36201,01015,AL,0.16621689155422,0.29244314013206,0.13592896174863,0.17663508440381
36202,01015,AL,0.029271078746341,0.062949376375642,0.0013661202185792,0.03168015935848
36203,01015,AL,0.12459484543443,0.2070432868672,0.20560109289617,0.13328395944531
36204,01015,AL,0.010751766973656,0.00997798972854,0.00068306010928962,0.010496207574635
36205,01015,AL,0.01447847504819,0.015700660308144,0.045765027322404,0.015169701458232
36206,01015,AL,0.082658670664668,0.066764490095378,0.080601092896175,0.081237071277166
36207,01015,AL,0.15586492468052,0.12589875275128,0.19877049180328,0.15405929974206
36250,01015,AL,0.030770329121154,0.028466617754952,0.030737704918033,0.030569246877953
36253,01015,AL,0,0.00029347028613353,0,2.5538217943152e-05
36254,01015,AL,0,0.00014673514306676,0,1.2769108971576e-05
36257,01015,AL,0.006039837224245,0.0023477622890682,0.00068306010928962,0.0056184079474934
36260,01015,AL,0.0224030841722,0.008070432868672,0.0034153005464481,0.020800878514697
36265,01015,AL,0.1639751552795,0.082758620689655,0.20901639344262,0.15774957223485
36271,01015,AL,0.051531377168559,0.015700660308144,0.0081967213114754,0.047603238246035
36272,01015,AL,0.073663168415792,0.06529713866471,0.057377049180328,0.072630691830324
36277,01015,AL,0.039594488470051,0.0076302274394718,0.016393442622951,0.03637919146002
36279,01015,AL,0.020504033697437,0.0052824651504035,0.0040983606557377,0.018872743059989
36274,01017,AL,0.019458057076967,0.015323117921386,0.012690355329949,0.019067330133427
36276,01017,AL,0.010425675026425,0.0046635576282478,0,0.0098639306002026
36801,01017,AL,0.008215624099164,0.0013324450366422,0.0025380710659898,0.0076621603769431
36850,01017,AL,0.010137407514173,0.005329780146569,0.0050761421319797,0.009731824386807
36852,01017,AL,0.016959738637456,0.016655562958028,0.010152284263959,0.016821524505703
36854,01017,AL,0.33453444796771,0.35309793471019,0.23096446700508,0.333964507464
36855,01017,AL,0.051119438839243,0.020652898067955,0.043147208121827,0.048967369765291
36862,01017,AL,0.1780532334006,0.19320453031312,0.28426395939086,0.180897441543
36863,01017,AL,0.35235898914192,0.38241172551632,0.39340101522843,0.35505746620283
36879,01017,AL,0.018737388296339,0.0073284477015323,0.017766497461929,0.017966445021798
35901,01019,AL,0.0020819701385997,0.0040691759918616,0,0.0021641418345264
35903,01019,AL,0.003152697638451,0.0010172939979654,0,0.002996504078575
35959,01019,AL,0.21259889358158,0.085452695829095,0.22026431718062,0.20575994672882
35960,01019,AL,0.39063708286241,0.71617497456765,0.59030837004405,0.41090949447866
35961,01019,AL,0.018678246386295,0.0091556459816887,0,0.01792353365518
35967,01019,AL,0.012253881387187,0.0061037639877925,0,0.01176405304922
35973,01019,AL,0.1085598715127,0.027466937945066,0.022026431718062,0.10304644581322
35983,01019,AL,0.14175242400809,0.11291963377416,0.11453744493392,0.13983685700017
35984,01019,AL,0.013919457498067,0,0.026431718061674,0.013317795904778
36272,01019,AL,0.096365474986616,0.036622583926755,0.026431718061674,0.092225736640586
36275,01019,AL,0,0.0010172939979654,0,5.5490816269907e-05
35035,01021,AL,7.8665827564506e-05,0,0,7.3863426524356e-05
35040,01021,AL,0.022301762114537,0.0054237288135593,0.033707865168539,0.021457325405326
35045,01021,AL,0.32327721837634,0.66779661016949,0.59550561797753,0.34383425047088
35046,01021,AL,0.13086060415356,0.066440677966102,0.039325842696629,0.1267496399158
35085,01021,AL,0.19107929515419,0.10915254237288,0.084269662921348,0.18591424456181
35115,01021,AL,0.056010069225928,0.0047457627118644,0.044943820224719,0.053144735384274
35171,01021,AL,0.068989930774072,0.03728813559322,0.056179775280899,0.067178786423902
